question,option1,option2,option3,option4,answer,,
"21. Order primata and carnivora are placed in the same class, i.e.",(1) Order,(2) Mammalia,(3) Insecta,(4) Chordata,Sol. Answer (2),,
"22. Fishes, amphibians, reptiles and birds are kept in the same",(1) Lamarck  physiological isolation,(2) Class,(3) Genus,(4) Phylum,Sol. Answer (4),,
23. Choose odd one out w.r.t. Panthera leo,(1) Hominidae,(2) Panthera represents generic name,(3) leo represents specific epithet,(4) Panthera represents higher level of taxon than leo,Sol. Answer (1),,
"24. Potato and brinjal belong to the genus Solanum, which reflects that",(1) Common name of tiger,(2) They are a group of related species,(3) They both are morphologically and structurally similar to each other in all respects,(4) They can always produce fertile hybrid,Sol. Answer (2),,
25. Class mammalia consists of,(1) They belong to single species,(2) Families like felidae and canidae only,"(3) Related orders like carnivora, primata, etc.",(4) All animals belonging to various phyla,Sol. Answer (3),,
"26. Dicots like mango, brinjal and monocot like wheat are placed under a common taxonomic category known as",(1) Order carnivora only,(2) Phylum – Angiospermae,(3) Division – Angiospermae,(4) Class – Angiospermae,Sol. Answer (3),,
27. Rice and brinjal belong to the category ending with suffix,(1) Phylum – Arthropoda,(2) “ales”,(3) “phyta”,(4) “ae”,Sol. Answer (3),,
28. Various taxonomic categories are,(1) “aceae”,(2) Distinct biological entities,(3) International codes used for nomenclature,(4) Collection of organisms on structural similarities only,Sol. Answer (2),,
"29. Plants belonging to different classes, with a few similar characters are assigned to a category called",(1) Mere morphological aggregates,(2) Order,(3) Division,(4) Genus,Sol. Answer (3),,
"30. Amongst the given taxonomic aids, how many are associated with preservation of specimens?",(1) One,(2) Three,(3) Two,(4) Four,Sol. Answer (4),,
31. Which of the following chemicals is used for poisoning the specimens in herbarium technique?,(1) Hg2Cl2,(2) AgNO3,(3) HCl,(4) HgCl2,Sol. Answer (3),,
32. The international size of herbarium sheet is,(1) 41 × 29 cm,(2) 40 × 30 inches,(3) 42 × 20 cm,(4) 39 × 28 cm,Sol. Answer (1),,
33. Find the correct sequence of various steps of herbarium technique,"(1) c, a, b, e, g, d, f","(2) c, b, d, e, f, g, a","(3) c, a, b, e, g, f, d","(4) c, a, b, g, e, f, d",Sol. Answer (1),,
34. Select the correct match,"(1) a(ii), b(iii), c(iv), d(i)","(2) a(i), b(iv), c(ii), d(iii)","(3) a(iv), b(i), c(iii), d(ii)","(4) a(iv), b(i), c(ii), d(iii)",Sol. Answer (4),,
35. Live specimens are used for reference in taxonomic studies in,(1) Museum,(2) Zoological parks,(3) Botanical gardens,(4) More than one option is correct,Sol. Answer (4),,
1. The label of a herbarium sheet does not carry information on,(1) Date of collection,(2) Name of collector,(3) Local names,(4) Height of the plant,Sol. Answer (4),,
2. Study the four statements (A–D) given below and select the two correct ones out of them:,(1) B and C,(2) C and D,(3) A and D,(4) A and B,Sol. Answer (3),,
3. Nomenclature  is  governed  by  certain  universal  rules.  Which  one  of  the  following  is  contrary  to  the  rules  of,"(1) When written by hand, the names are to be underlined",(2) Biological names can be written in any language,(3) The first word in a biological name represents the genus name and the second is a specific epithet,(4) The names are written in Latin and are italicised,Sol. Answer (2),,
4. Which one of the following is not a correct statement?,(1) Botanical gardens have collection of living plants for reference,(2) A museum has collection of photographs of plants and animals,(3) Key is a taxonomic aid for identification of specimens,"(4) Herbarium houses dried, pressed and preserved plant specimens",Sol. Answer (2),,
5. Maximum nutritional diversity is found in the group,(1) Plantae,(2) Fungi,(3) Animalia,(4) Monera,Sol. Answer (4),,
6. Which one of the following aspects is an exclusive characteristic of living things?,(1) Perception of events happening in the environment and their memory,(2) Increase in mass by accumulation of material both on surface as well as internally,(3) Isolated metabolic reactions occur in-vitro,(4) Increase in mass from inside only,Sol. Answer (4),,
7. The living organisms can be unexceptionally distinguished from the non living things on the basis of their ability for,(1) Growth and movement,(2) Responsiveness to touch,(3) Interaction with the environment and progressive evolution,(4) Reproduction,Sol. Answer (2),,
8. ICBN stands for,(1) Indian Code of Botanical Nomenclature,(2) Indian Congress of Biological Names,(3) International Code of Botanical Nomenclature,(4) International Congress of Biological Names,Sol. Answer (3),,
9. Two plants can be conclusively said to belong to the same species if they:,(1) Have same number of chromosomes,(2) Can reproduce freely with each other and form seeds,(3) Have more than 90 per cent similar genes,(4) Look similar and possess identical secondary metabolites,Sol. Answer (2),,
10. Biosystematics  aims  at,(1) The classification of organisms based on broad morphological characters,(2) Delimiting various taxa of organisms and establishing their relationships,(3) The classification of organisms based on their evolutionary history and establishing their phylogeny on,(4) Identification and arrangement of organisms on the basis of their cytological characteristics,Sol. Answer (3),,
11. The common characteristics between tomato and potato will be maximum at the level of their,(1) Genus,(2) Family,(3) Order,(4) Division,Sol. Answer (2),,
12. Taxonomic hierarchy refers to,(1) Step-wise arrangement of all categories for classification of plants and animals,(2) A group of senior taxonomists who decide the nomenclature of plants and animals,(3) A list of botanists or zoologists who have worked on taxonomy of a species or group,(4) Classification of a species based on fossil record,Sol. Answer (1),,
"14. The closely related morphologically similar sympatric populations, but reproductively isolated, are designated",(1) Order,(2) Taxonomy,(3) Species,(4) Genus,Sol. Answer (2),,
13. ‘Taxon’ is the unit of,(1) Clones,(2) Sibling species,(3) Clines,(4) Demes,Sol. Answer (2),,
15. Which of the following is least general in characters as compared to genera?,(1) Species,(2) Division,(3) Class,(4) Family,Sol. Answer (1),,
16. Species is considered as,(1) Real basic unit of classification,(2) The lowest unit of biosystematics,(3) Artificial concept of human mind which cannot be defined in absolute terms,(4) Real units of classification devised by taxonomists,Sol. Answer (1),,
17. Which of the following is not true for a species?,(1) Members of a species can interbreed,(2) Gene flow does not occur between the populations of a species,(3) Each species is reproductively isolated from every other species,(4) Variations occur among members of a species,Sol. Answer (2),,
18. One of the most important function of botanical gardens is that,(1) They provide a beautiful area for recreation,(2) One can observe tropical plants there,(3) They allow ex-situ conservation of germplasm,(4) They provide the natural habitat for wildlife,Sol. Answer (3),,
